ThreadID: 40c6ffc0aa7f0000, CarID: 3, Object: C0, time stamp: 474, AID: 3 finished passing connector.
ThreadID: 40c6ffc0aa7f0000, CarID: 3, Object: C0, time stamp: 474, AID: 0 traveling to connector.
ThreadID: 4086ffbeaa7f0000, CarID: 7, Object: C0, time stamp: 485, AID: 3 finished passing connector.
ThreadID: 4086ffbeaa7f0000, CarID: 7, Object: C0, time stamp: 485, AID: 0 traveling to connector.
ThreadID: 40b67fc0aa7f0000, CarID: 4, Object: C0, time stamp: 495, AID: 3 finished passing connector.
ThreadID: 40b67fc0aa7f0000, CarID: 4, Object: C0, time stamp: 495, AID: 0 traveling to connector.
ThreadID: 40967fbfaa7f0000, CarID: 6, Object: C0, time stamp: 544, AID: 3 finished passing connector.
ThreadID: 40967fbfaa7f0000, CarID: 6, Object: C0, time stamp: 544, AID: 0 traveling to connector.
ThreadID: 40e6ffc1aa7f0000, CarID: 1, Object: C0, time stamp: 554, AID: 3 finished passing connector.
ThreadID: 40e6ffc1aa7f0000, CarID: 1, Object: C0, time stamp: 554, AID: 0 traveling to connector.
ThreadID: 40d67fc1aa7f0000, CarID: 2, Object: C0, time stamp: 564, AID: 3 finished passing connector.
ThreadID: 40d67fc1aa7f0000, CarID: 2, Object: C0, time stamp: 564, AID: 0 traveling to connector.
ThreadID: 40f67fc2aa7f0000, CarID: 0, Object: C0, time stamp: 564, AID: 1 arrived at connector.
ThreadID: 40a6ffbfaa7f0000, CarID: 5, Object: C0, time stamp: 574, AID: 3 finished passing connector.
ThreadID: 40a6ffbfaa7f0000, CarID: 5, Object: C0, time stamp: 574, AID: 0 traveling to connector.
ThreadID: 40f67fc2aa7f0000, CarID: 0, Object: C0, time stamp: 574, AID: 2 started passing connector.
ThreadID: 40c6ffc0aa7f0000, CarID: 3, Object: C0, time stamp: 574, AID: 1 arrived at connector.
ThreadID: 40c6ffc0aa7f0000, CarID: 3, Object: C0, time stamp: 585, AID: 2 started passing connector.
ThreadID: 4086ffbeaa7f0000, CarID: 7, Object: C0, time stamp: 585, AID: 1 arrived at connector.
ThreadID: 40b67fc0aa7f0000, CarID: 4, Object: C0, time stamp: 595, AID: 1 arrived at connector.
ThreadID: 4086ffbeaa7f0000, CarID: 7, Object: C0, time stamp: 595, AID: 2 started passing connector.
ThreadID: 40b67fc0aa7f0000, CarID: 4, Object: C0, time stamp: 605, AID: 2 started passing connector.
ThreadID: 40967fbfaa7f0000, CarID: 6, Object: C0, time stamp: 644, AID: 1 arrived at connector.
ThreadID: 40967fbfaa7f0000, CarID: 6, Object: C0, time stamp: 654, AID: 2 started passing connector.
ThreadID: 40e6ffc1aa7f0000, CarID: 1, Object: C0, time stamp: 654, AID: 1 arrived at connector.
ThreadID: 40d67fc1aa7f0000, CarID: 2, Object: C0, time stamp: 664, AID: 1 arrived at connector.
ThreadID: 40e6ffc1aa7f0000, CarID: 1, Object: C0, time stamp: 664, AID: 2 started passing connector.
ThreadID: 40d67fc1aa7f0000, CarID: 2, Object: C0, time stamp: 675, AID: 2 started passing connector.
ThreadID: 40a6ffbfaa7f0000, CarID: 5, Object: C0, time stamp: 675, AID: 1 arrived at connector.
ThreadID: 40f67fc2aa7f0000, CarID: 0, Object: C0, time stamp: 675, AID: 3 finished passing connector.
ThreadID: 40a6ffbfaa7f0000, CarID: 5, Object: C0, time stamp: 685, AID: 2 started passing connector.
ThreadID: 40c6ffc0aa7f0000, CarID: 3, Object: C0, time stamp: 685, AID: 3 finished passing connector.
ThreadID: 4086ffbeaa7f0000, CarID: 7, Object: C0, time stamp: 695, AID: 3 finished passing connector.
ThreadID: 40b67fc0aa7f0000, CarID: 4, Object: C0, time stamp: 706, AID: 3 finished passing connector.
ThreadID: 40967fbfaa7f0000, CarID: 6, Object: C0, time stamp: 754, AID: 3 finished passing connector.
ThreadID: 40e6ffc1aa7f0000, CarID: 1, Object: C0, time stamp: 765, AID: 3 finished passing connector.
ThreadID: 40d67fc1aa7f0000, CarID: 2, Object: C0, time stamp: 775, AID: 3 finished passing connector.
ThreadID: 40a6ffbfaa7f0000, CarID: 5, Object: C0, time stamp: 785, AID: 3 finished passing connector.
