ThreadID: 40967fd201720000, CarID: 7, Object: C0, time stamp: 463, AID: 2 started passing connector.
ThreadID: 40c6ffd301720000, CarID: 3, Object: C0, time stamp: 473, AID: 2 started passing connector.
ThreadID: 40f67fd501720000, CarID: 0, Object: C0, time stamp: 512, AID: 1 arrived at connector.
ThreadID: 40f67fd501720000, CarID: 0, Object: C0, time stamp: 522, AID: 2 started passing connector.
ThreadID: 40d67fd401720000, CarID: 2, Object: C0, time stamp: 522, AID: 1 arrived at connector.
ThreadID: 40d67fd401720000, CarID: 2, Object: C0, time stamp: 532, AID: 2 started passing connector.
ThreadID: 40a6ffd201720000, CarID: 6, Object: C0, time stamp: 532, AID: 1 arrived at connector.
ThreadID: 40a6ffd201720000, CarID: 6, Object: C0, time stamp: 542, AID: 2 started passing connector.
ThreadID: 40b67fcb01720000, CarID: 4, Object: C0, time stamp: 543, AID: 1 arrived at connector.
ThreadID: 40b67fd301720000, CarID: 5, Object: C0, time stamp: 543, AID: 3 finished passing connector.
ThreadID: 40b67fd301720000, CarID: 5, Object: C0, time stamp: 543, AID: 0 traveling to connector.
ThreadID: 40b67fcb01720000, CarID: 4, Object: C0, time stamp: 553, AID: 2 started passing connector.
ThreadID: 40e6ffd401720000, CarID: 1, Object: C0, time stamp: 553, AID: 3 finished passing connector.
ThreadID: 40e6ffd401720000, CarID: 1, Object: C0, time stamp: 553, AID: 0 traveling to connector.
ThreadID: 40967fd201720000, CarID: 7, Object: C0, time stamp: 563, AID: 3 finished passing connector.
ThreadID: 40967fd201720000, CarID: 7, Object: C0, time stamp: 563, AID: 0 traveling to connector.
ThreadID: 40c6ffd301720000, CarID: 3, Object: C0, time stamp: 574, AID: 3 finished passing connector.
ThreadID: 40c6ffd301720000, CarID: 3, Object: C0, time stamp: 574, AID: 0 traveling to connector.
ThreadID: 40f67fd501720000, CarID: 0, Object: C0, time stamp: 622, AID: 3 finished passing connector.
ThreadID: 40d67fd401720000, CarID: 2, Object: C0, time stamp: 632, AID: 3 finished passing connector.
ThreadID: 40a6ffd201720000, CarID: 6, Object: C0, time stamp: 643, AID: 3 finished passing connector.
ThreadID: 40b67fd301720000, CarID: 5, Object: C0, time stamp: 643, AID: 1 arrived at connector.
