ThreadID: 40e67f9348700000, CarID: 6, Object: C0, time stamp: 433, AID: 0 traveling to connector.
ThreadID: 40b6bf9848700000, CarID: 4, Object: C0, time stamp: 443, AID: 3 finished passing connector.
ThreadID: 40b6bf9848700000, CarID: 4, Object: C0, time stamp: 443, AID: 0 traveling to connector.
ThreadID: 40d6bf9948700000, CarID: 2, Object: C0, time stamp: 453, AID: 3 finished passing connector.
ThreadID: 40d6bf9948700000, CarID: 2, Object: C0, time stamp: 453, AID: 0 traveling to connector.
ThreadID: 40c63f9948700000, CarID: 3, Object: C0, time stamp: 464, AID: 3 finished passing connector.
ThreadID: 40c63f9948700000, CarID: 3, Object: C0, time stamp: 464, AID: 0 traveling to connector.
ThreadID: 40f6ff9348700000, CarID: 5, Object: C0, time stamp: 474, AID: 3 finished passing connector.
ThreadID: 40f6ff9348700000, CarID: 5, Object: C0, time stamp: 474, AID: 0 traveling to connector.
ThreadID: 40d6ff9248700000, CarID: 7, Object: C0, time stamp: 484, AID: 3 finished passing connector.
ThreadID: 40d6ff9248700000, CarID: 7, Object: C0, time stamp: 484, AID: 0 traveling to connector.
ThreadID: 40e63f9a48700000, CarID: 1, Object: C0, time stamp: 502, AID: 1 arrived at connector.
ThreadID: 40e63f9a48700000, CarID: 1, Object: C0, time stamp: 502, AID: 2 started passing connector.
ThreadID: 40f6bf9a48700000, CarID: 0, Object: C0, time stamp: 523, AID: 1 arrived at connector.
ThreadID: 40f6bf9a48700000, CarID: 0, Object: C0, time stamp: 533, AID: 2 started passing connector.
ThreadID: 40e67f9348700000, CarID: 6, Object: C0, time stamp: 533, AID: 1 arrived at connector.
ThreadID: 40b6bf9848700000, CarID: 4, Object: C0, time stamp: 543, AID: 1 arrived at connector.
ThreadID: 40e67f9348700000, CarID: 6, Object: C0, time stamp: 543, AID: 2 started passing connector.
ThreadID: 40d6bf9948700000, CarID: 2, Object: C0, time stamp: 553, AID: 1 arrived at connector.
